,<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
84662,VCB,20170925,36.8518,36.9497,36.6561,36.705,1065690
84982,VCB,20170922,37.0438,37.0927,36.7991,36.8518,1052820
85283,VCB,20170921,36.9986,37.3412,36.9497,37.0476,1215880
85602,VCB,20170920,36.6523,37.3863,36.6523,36.9986,2168280
85952,VCB,20170919,36.6523,36.9949,36.5055,36.6071,2466890
86257,VCB,20170918,37.1944,37.3902,36.8029,36.8029,2916990
86576,VCB,20170915,37.488,37.5859,37.0965,37.1944,2799180
86891,VCB,20170914,37.3863,37.68,37.0927,37.488,2432090
87204,VCB,20170913,37.5821,37.5821,37.0927,37.2433,774520
87550,VCB,20170912,36.897,37.2885,36.8481,37.2433,1335940
87860,VCB,20170911,36.9986,38.0753,36.9008,36.9008,1858420
88172,VCB,20170908,37.1944,37.2923,36.8518,36.9008,753240
88497,VCB,20170907,37.1944,37.1944,36.9008,36.9008,558020
88817,VCB,20170906,37.1944,37.3412,36.9497,37.1944,589690
89127,VCB,20170905,36.6034,37.4842,36.3587,37.3412,1658120
89437,VCB,20170901,36.6071,36.705,36.3135,36.6561,655740
89775,VCB,20170831,36.1177,36.6561,36.0688,36.3135,697650
90121,VCB,20170830,36.2156,36.5092,36.1177,36.2156,697600
90408,VCB,20170829,36.6561,36.705,36.2156,36.2156,691290
90756,VCB,20170828,36.3624,36.6561,36.3135,36.6561,664630
91071,VCB,20170825,36.2608,36.6034,36.2608,36.3624,222240
91399,VCB,20170824,36.3587,36.6523,36.114000000000004,36.2645,326460
91712,VCB,20170823,36.2156,36.3135,35.922,36.2156,551970
92034,VCB,20170822,36.7013,36.7013,36.114000000000004,36.1177,547530
92381,VCB,20170821,36.7013,36.7991,36.5055,36.6071,257280
92681,VCB,20170818,36.5092,36.9986,36.3624,36.705,720950
93027,VCB,20170817,36.7013,36.7502,36.3587,36.5092,521370
93325,VCB,20170816,36.5092,36.7539,36.4603,36.705,388380
93655,VCB,20170815,36.7991,36.897,36.5055,36.5092,466800
93967,VCB,20170814,36.6523,36.9949,36.6523,36.8518,363540
94321,VCB,20170811,36.6561,36.7539,36.5092,36.6561,580140
94608,VCB,20170810,36.7539,37.0965,36.6561,36.9008,1133390
