Date,Open,High,Low,Close,Volume
20170630,19.5738,19.7676,19.5738,19.7676,2718220
20170629,19.5254,19.9614,19.5254,19.6707,5414500
20170628,19.2347,19.5738,19.0893,19.3316,3584220
20170627,19.5738,19.7192,19.2831,19.2831,3955780
20170626,19.2831,19.7192,19.1862,19.5738,4079030
20170623,19.0893,19.2831,18.9924,19.2831,4067480
20170622,19.7676,19.8645,19.2347,19.2347,4700650
20170621,19.7676,19.9614,19.2347,19.6707,7245070
20170620,19.6707,19.9614,19.4769,19.913,6648680
20170619,19.38,19.4285,19.1862,19.38,4812540
20170616,19.0893,19.2831,19.0409,19.1378,3740610
20170615,19.4769,19.4769,19.0409,19.1862,5827220
20170614,19.0893,19.4769,19.0409,19.38,7438470
20170613,18.411,19.0893,18.3141,18.8955,4418920
20170612,18.3141,18.6533,18.1688,18.3626,4459550
20170609,18.5079,18.6533,18.2172,18.2657,4780100
20170608,18.7017,18.7986,18.3141,18.5079,3776460
20170607,18.8955,19.1378,18.7017,18.7986,6665550
20170606,18.0234,18.8471,17.9265,18.7986,8701470
20170605,17.9265,18.2172,17.8296,18.1203,3173120
20170602,17.7327,17.8296,17.3936,17.6843,5040700
20170601,17.9265,18.0719,17.7327,17.7327,3182440
20170531,17.7793,18.0215,17.5855,17.878,4665780
20170530,18.3141,18.6048,17.7812,17.7812,7521710
20170529,18.8955,19.1862,18.3141,18.411,6835440
20170526,18.411,18.8955,18.411,18.8955,6662620
20170525,18.6533,19.0893,18.411,18.5079,8562650
20170524,17.8781,18.7502,17.7327,18.6533,9620910
20170523,17.8296,18.5564,17.5874,17.975,10107090
20170522,16.8606,17.8296,16.8606,17.8296,15701040
20170519,16.3277,16.6668,16.2308,16.6668,5387170
20170518,16.1823,16.5215,16.1339,16.2792,3270310
20170517,16.2792,16.3761,16.1339,16.1823,2289770
20170516,16.473,16.5215,16.1823,16.3761,3557650
20170515,16.3761,16.4246,16.1823,16.3761,3094730
20170512,16.473,16.7637,16.3761,16.4246,3232780
20170511,16.5699,16.7153,16.473,16.473,3438740
20170510,16.0854,16.7637,16.0854,16.5699,6204060
20170509,15.8916,16.1823,15.8432,16.0854,3390050
20170508,16.1339,16.1339,15.7947,15.9885,2750130
20170505,16.2792,16.2792,15.8916,16.037,2558190
20170504,16.0854,16.5215,15.9401,16.2792,3603070
20170503,16.0854,16.2792,15.9885,16.0854,2134200
20170428,15.7947,16.1823,15.7947,16.0854,4054470
20170427,15.9885,16.1823,15.9401,16.0854,1305200
20170426,15.7947,16.2308,15.6494,15.9885,3093360
20170425,15.8916,15.9885,15.6978,15.8432,2039700
20170424,15.9885,16.0854,15.7947,15.8432,915040
20170421,16.2308,16.3761,15.9885,16.037,2322130
20170420,15.7947,16.3761,15.6494,16.0854,3276820
20170419,15.9885,15.9885,15.7947,15.7947,2200740
20170418,15.8916,15.9885,15.6978,15.9885,3394390
20170417,16.473,16.5215,15.8916,15.8916,2640550
20170414,16.1823,16.5215,15.9401,16.5215,4089000
20170413,16.3761,16.5699,16.2792,16.3761,4017550
20170412,16.473,16.6668,16.2792,16.473,3272610
20170411,16.473,16.5215,16.2308,16.473,3274570
20170410,16.6668,16.7153,16.473,16.473,3210070
20170407,16.5699,16.7153,16.2792,16.5699,4065580
20170405,16.6668,16.8122,16.5699,16.6184,3256600
20170404,16.7637,16.9091,16.5215,16.6668,3160690
20170403,16.9091,17.006,16.6184,16.6184,3046160
20170331,17.1998,17.1998,16.8606,17.006,2402720
20170330,16.8589,17.2949,16.8104,17.1997,5467270
20170329,16.9091,16.9091,16.5699,16.8606,4029300
20170328,17.0544,17.2482,16.8606,16.8606,3129920
20170327,17.4402,17.5855,17.1011,17.1997,7212840
20170324,17.1029,17.3451,16.8606,17.3451,8242990
20170323,16.8606,17.1029,16.6668,16.9091,3455890
20170322,16.8606,17.1029,16.7637,16.8606,9321930
20170321,16.2792,16.8606,16.2792,16.8606,10006770
20170320,16.1823,16.2792,15.9401,16.2308,3017280
20170317,15.8432,16.2308,15.7947,16.1823,4646040
20170316,15.9401,16.037,15.7463,15.8432,1860750
20170315,15.7947,15.9401,15.7463,15.9401,1177930
20170314,15.8432,15.9885,15.7947,15.8916,2190590
20170313,15.9885,16.037,15.7947,15.9885,1377930
20170310,16.037,16.3761,16.037,16.037,2210220
20170309,16.0854,16.4246,16.037,16.2792,4635690
20170308,15.8916,16.2308,15.7947,16.0854,2091720
20170307,16.0854,16.0854,15.8916,15.9885,1229860
20170306,16.0854,16.1823,15.8916,16.0854,2663090
20170303,15.6009,15.8916,15.3102,15.8916,3291400
20170302,15.8916,15.9885,15.5525,15.5525,2357980
20170301,15.9401,15.9401,15.6009,15.7947,2971500
20170228,16.1339,16.1823,15.8916,15.9401,1374710
20170227,16.1823,16.1823,15.9401,16.1823,1299320
20170224,15.9885,16.2792,15.9885,16.1339,2717550
20170223,16.0854,16.1823,15.8432,16.1339,1917960
20170222,16.2308,16.2792,15.9885,16.0854,2027200
20170221,16.1339,16.3277,16.1339,16.1823,3466220
20170220,16.2792,16.3277,15.9885,16.0854,4319650
20170217,16.3761,16.5215,16.2308,16.3761,2315410
20170216,16.7153,16.9091,16.473,16.473,4207540
20170215,16.4246,16.8606,16.3277,16.8122,3866520
20170214,16.3761,16.5215,16.3277,16.473,3452520
20170213,16.5699,16.6184,16.3277,16.3277,2356920
20170210,16.3277,16.6184,16.2792,16.5699,3882460
20170209,16.473,16.6184,16.3277,16.3277,3894230
20170208,16.5699,16.6668,16.3277,16.473,3716420
20170207,16.5215,16.8122,16.4246,16.5699,3550940
20170206,16.6668,16.8606,16.473,16.6668,2896390
20170203,16.6668,17.006,16.5215,16.6668,4057580
20170202,16.3761,16.6668,16.1339,16.6668,3033030
20170125,16.473,16.473,15.9885,16.3761,2424360
20170124,16.3277,16.6184,16.3277,16.473,3130040
20170123,16.1823,16.473,16.0854,16.3277,3412290
20170120,15.9885,16.3761,15.8916,16.1339,3226890
20170119,15.8432,16.1339,15.7947,15.9401,1997400
20170118,16.2792,16.7637,15.9401,15.9401,5523490
20170117,15.6009,16.3277,15.4556,16.2792,6538420
20170116,15.7463,15.7947,15.3102,15.3102,2739610
20170113,15.9885,16.037,15.6494,15.7463,3414240
20170112,16.0854,16.0854,15.8916,15.9885,3541500
20170111,15.6978,16.0854,15.5525,16.0854,7292910
